Idol Type,Size,Affix Type,Content Tag,Affix,Stripped Affix,Range,,,,,,
Minor Idol,1x1,Prefix,Essence,Your Maps have (35–50)% chance to contain an additional Imprisoned Monster,Your Maps have #% chance to contain an additional Imprisoned Monster,35–50,,,,,,
Minor Idol,1x1,Prefix,Expedition,Your Maps have +(15–25)% chance to contain an Expedition Encounter,Your Maps have +#% chance to contain an Expedition Encounter,15–25,,,,,,
Minor Idol,1x1,Prefix,Expedition,Your Maps have (80–100)% increased chance to contain an Expedition Encounter,Your Maps have #% increased chance to contain an Expedition Encounter,80–100,,,,,,
Minor Idol,1x1,Prefix,Harbinger,Your Maps have a (35–50)% chance to contain an additional Harbinger,Your Maps have a #% chance to contain an additional Harbinger,35–50,,,,,,
Minor Idol,1x1,Prefix,Harvest,Your Maps have +(15–25)% chance to contain The Sacred Grove,Your Maps have +#% chance to contain The Sacred Grove,15–25,,,,,,
Minor Idol,1x1,Prefix,Harvest,Your Maps have (80–100)% increased chance to contain The Sacred Grove,Your Maps have #% increased chance to contain The Sacred Grove,80–100,,,,,,
Minor Idol,1x1,Prefix,Heist,Your Maps have +(15–25)% chance to contain a Smuggler's Cache,Your Maps have +#% chance to contain a Smuggler's Cache,15–25,,,,,,
Minor Idol,1x1,Prefix,Heist,Your Maps have (80–100)% increased chance to contain a Smuggler's Cache,Your Maps have #% increased chance to contain a Smuggler's Cache,80–100,,,,,,
Minor Idol,1x1,Prefix,Heist,(10–15)% increased Heist Contracts found in your Maps,#% increased Heist Contracts found in your Maps,10–15,,,,,,
Minor Idol,1x1,Prefix,Betrayal,Your Maps have +(15–25)% chance to contain Jun,Your Maps have +#% chance to contain Jun,15–25,,,,,,
Minor Idol,1x1,Prefix,Betrayal,Your Maps have (80–100)% increased chance to contain Jun,Your Maps have #% increased chance to contain Jun,80–100,,,,,,
Minor Idol,1x1,Prefix,Legion,Your Maps have +(15–25)% chance to contain a Legion Encounter,Your Maps have +#% chance to contain a Legion Encounter,15–25,,,,,,
Minor Idol,1x1,Prefix,Legion,Your Maps have (80–100)% increased chance to contain a Legion Encounter,Your Maps have #% increased chance to contain a Legion Encounter,80–100,,,,,,
Minor Idol,1x1,Prefix,Maps,Tier 1-15 Maps found have (5–10)% chance to become 1 tier higher,Tier 1-15 Maps found have #% chance to become 1 tier higher,5–10,,,,,,
Minor Idol,1x1,Prefix,Ultimatum,Your Maps have (80–100)% increased chance to contain an Ultimatum Encounter,Your Maps have #% increased chance to contain an Ultimatum Encounter,80–100,,,,,,
Minor Idol,1x1,Prefix,Ultimatum,Your Maps have +(15–25)% chance to contain an Ultimatum Encounter,Your Maps have +#% chance to contain an Ultimatum Encounter,15–25,,,,,,
Minor Idol,1x1,Prefix,Ritual,Your Maps have +(15–25)% chance to contain Ritual Altars,Your Maps have +#% chance to contain Ritual Altars,15–25,,,,,,
Minor Idol,1x1,Prefix,Ritual,Your Maps have (80–100)% increased chance to contain Ritual Altars,Your Maps have #% increased chance to contain Ritual Altars,80–100,,,,,,
Minor Idol,1x1,Prefix,Scarabs,(5–10)% increased Scarabs found in your Maps,#% increased Scarabs found in your Maps,5–10,,,,,,
Minor Idol,1x1,Prefix,Strongboxes,Your Maps have +(35–50)% chance to contain a Strongbox,Your Maps have +#% chance to contain a Strongbox,35–50,,,,,,
Minor Idol,1x1,Prefix,Torment,Your Maps have a (35–50)% chance to be haunted by an additional Tormented Spirit,Your Maps have a #% chance to be haunted by an additional Tormented Spirit,35–50,,,,,,
Minor Idol,1x1,Prefix,Torment,Your Maps have +(7–10)% chance to be haunted by a Tormented Spirit,Your Maps have +#% chance to be haunted by a Tormented Spirit,7–10,,,,,,
Minor Idol,1x1,Prefix,Scouting Reports,(10–15)% increased Atlas Scouting Reports found in your Maps,#% increased Atlas Scouting Reports found in your Maps,10–15,,,,,,
Minor Idol,1x1,Prefix,Maps,(2–3)% increased Maps found in Area,#% increased Maps found in Area,2–3,,,,,,
Minor Idol,1x1,Prefix,Monster Pack,Your Maps contain (3–5)% more Monster Packs consisting of difficult and rewarding Monsters,Your Maps contain #% more Monster Packs consisting of difficult and rewarding Monsters,3–5,,,,,,
Minor Idol,1x1,Suffix,Abyss,Abyssal Troves and Stygian Spires in your Maps have (15–25)% increased chance to contain or drop an Abyss Jewel,Abyssal Troves and Stygian Spires in your Maps have #% increased chance to contain or drop an Abyss Jewel,15–25,,,,,,
Minor Idol,1x1,Suffix,Abyss,Abyssal Troves and Stygian Spires in your Maps have (6–10)% chance to drop a Rare Item with an Abyssal Socket,Abyssal Troves and Stygian Spires in your Maps have #% chance to drop a Rare Item with an Abyssal Socket,6–10,,,,,,
Minor Idol,1x1,Suffix,Abyss,(300–350)% increased Rarity of Items Dropped by Abyssal Troves and Stygian Spires in your Maps,#% increased Rarity of Items Dropped by Abyssal Troves and Stygian Spires in your Maps,300–350,,,,,,
Minor Idol,1x1,Suffix,Incursion,Incursions in your Maps have (4–6)% increased Pack Size,Incursions in your Maps have #% increased Pack Size,4–6,,,,,,
Minor Idol,1x1,Suffix,Bestiary,(5–10)% chance to create a copy of Beasts Captured in your Maps,#% chance to create a copy of Beasts Captured in your Maps,5–10,,,,,,
Minor Idol,1x1,Suffix,Bestiary,Red Beasts in your Maps have (40–60)% increased chance to be from The Deep,Red Beasts in your Maps have #% increased chance to be from The Deep,40–60,,,,,,
Minor Idol,1x1,Suffix,Bestiary,Red Beasts in your Maps have (40–60)% increased chance to be from The Wilds,Red Beasts in your Maps have #% increased chance to be from The Wilds,40–60,,,,,,
Minor Idol,1x1,Suffix,Bestiary,Red Beasts in your Maps have (40–60)% increased chance to be from The Caverns,Red Beasts in your Maps have #% increased chance to be from The Caverns,40–60,,,,,,
Minor Idol,1x1,Suffix,Bestiary,Red Beasts in your Maps have (40–60)% increased chance to be from The Sands,Red Beasts in your Maps have #% increased chance to be from The Sands,40–60,,,,,,
Minor Idol,1x1,Suffix,Beyond,Beyond Demons in your Maps have (35–45)% increased chance to be followers of K'tash,Beyond Demons in your Maps have #% increased chance to be followers of K'tash,35–45,,,,,,
Minor Idol,1x1,Suffix,Beyond,Beyond Demons in your Maps have (35–45)% increased chance to be followers of Beidat,Beyond Demons in your Maps have #% increased chance to be followers of Beidat,35–45,,,,,,
Minor Idol,1x1,Suffix,Beyond,Beyond Demons in your Maps have (35–45)% increased chance to be followers of Ghorr,Beyond Demons in your Maps have #% increased chance to be followers of Ghorr,35–45,,,,,,
Minor Idol,1x1,Suffix,Blight,(15–20)% reduced Cost of Building and Upgrading Towers,#% reduced Cost of Building and Upgrading Towers,15–20,,,,,,
Minor Idol,1x1,Suffix,Blight,Blight Chests in your Maps have (15–25)% more chance to contain Blighted Maps,Blight Chests in your Maps have #% more chance to contain Blighted Maps,15–25,,,,,,
Minor Idol,1x1,Suffix,Breach,Breaches in your Maps spawn (15–20)% increased Magic Monsters,Breaches in your Maps spawn #% increased Magic Monsters,15–20,,,,,,
Minor Idol,1x1,Suffix,Breach,"Chayula, Who Dreamt in your Maps has a (20–30)% chance to be Duplicated","Chayula, Who Dreamt in your Maps has a #% chance to be Duplicated",20–30,,,,,,
Minor Idol,1x1,Suffix,Breach,"Esh, Forked Thought in your Maps has a (20–30)% chance to be Duplicated","Esh, Forked Thought in your Maps has a #% chance to be Duplicated",20–30,,,,,,
Minor Idol,1x1,Suffix,Breach,"Uul-Netol, Unburdened Flesh in your Maps has a (20–30)% chance to be Duplicated","Uul-Netol, Unburdened Flesh in your Maps has a #% chance to be Duplicated",20–30,,,,,,
Minor Idol,1x1,Suffix,Breach,"Xoph, Dark Embers in your Maps has a (20–30)% chance to be Duplicated","Xoph, Dark Embers in your Maps has a #% chance to be Duplicated",20–30,,,,,,
Minor Idol,1x1,Suffix,Breach,"Tul, Creeping Avalanche in your Maps has a (20–30)% chance to be Duplicated","Tul, Creeping Avalanche in your Maps has a #% chance to be Duplicated",20–30,,,,,,
Minor Idol,1x1,Suffix,Breach,Breaches in your Maps have (35–45)% increased chance to contain a Breach Boss' Clasped Hand,Breaches in your Maps have #% increased chance to contain a Breach Boss' Clasped Hand,35–45,,,,,,
Minor Idol,1x1,Suffix,Exarch,Breaches in your Maps have (35–45)% increased chance to contain a Breach Boss' Clasped Hand,Breaches in your Maps have #% increased chance to contain a Breach Boss' Clasped Hand,35–45,,,,,,
Minor Idol,1x1,Suffix,Delirium,Delirium Encounters in your Maps have (6–10)% chance to generate an additional Reward type,Delirium Encounters in your Maps have #% chance to generate an additional Reward type,6–10,,,,,,
Minor Idol,1x1,Suffix,Delirium,Delirium Encounters in your Maps are (35–50)% more likely to spawn Unique Bosses,Delirium Encounters in your Maps are #% more likely to spawn Unique Bosses,35–50,,,,,,
Minor Idol,1x1,Suffix,Delirium,Delirium Bosses in your Maps drop (20–30)% increased Simulacrum Splinters,Delirium Bosses in your Maps drop #% increased Simulacrum Splinters,20–30,,,,,,
Minor Idol,1x1,Suffix,Delirium,Delirious Monsters Killed in your Maps provide (10–20)% increased Reward Progress,Delirious Monsters Killed in your Maps provide #% increased Reward Progress,10–20,,,,,,
Minor Idol,1x1,Suffix,Delirium,Delirium Monsters in your Maps have (5–10)% increased Pack Size,Delirium Monsters in your Maps have #% increased Pack Size,5–10,,,,,,
Minor Idol,1x1,Suffix,Delve,Sulphite Veins and Chests in your Maps have (3–5)% chance to also contain an equal amount of Azurite,Sulphite Veins and Chests in your Maps have #% chance to also contain an equal amount of Azurite,3–5,,,,,,
Minor Idol,1x1,Suffix,Shrine,(30–40)% increased Duration of Shrine Effects on Players in your Maps,#% increased Duration of Shrine Effects on Players in your Maps,30–40,,,,,,
Minor Idol,1x1,Suffix,Essence,Imprisoned Monsters in your Maps have (40–60)% chance to drop an additional Rare Item with an Essence Modifier,Imprisoned Monsters in your Maps have #% chance to drop an additional Rare Item with an Essence Modifier,40–60,,,,,,
Minor Idol,1x1,Suffix,Essence,Imprisoned Monsters in your Maps have (8–12)% chance to have an additional Essence,Imprisoned Monsters in your Maps have #% chance to have an additional Essence,8–12,,,,,,
Minor Idol,1x1,Suffix,Expedition,(15–20)% increased Explosive Radius in your Maps,#% increased Explosive Radius in your Maps,15–20,,,,,,
Minor Idol,1x1,Suffix,Expedition,(15–25)% increased Quantity of Expedition Logbooks dropped by Runic Monsters in your Maps,#% increased Quantity of Expedition Logbooks dropped by Runic Monsters in your Maps,15–25,,,,,,
Minor Idol,1x1,Suffix,Harbinger,Harbingers in your Maps have (20–30)% increased Cooldown Recovery Rate,Harbingers in your Maps have #% increased Cooldown Recovery Rate,20–30,,,,,,
Minor Idol,1x1,Suffix,Harvest,Harvest Monsters in your Maps grant (70–90)% increased Experience,Harvest Monsters in your Maps grant #% increased Experience,70–90,,,,,,
Minor Idol,1x1,Suffix,Harvest,Harvest Crops in your Maps have (10–15)% reduced chance to grow Yellow Plants,Harvest Crops in your Maps have #% reduced chance to grow Yellow Plants,10–15,,,,,,
Minor Idol,1x1,Suffix,Harvest,Harvest Crops in your Maps have (10–15)% reduced chance to grow Blue Plants,Harvest Crops in your Maps have #% reduced chance to grow Blue Plants,10–15,,,,,,
Minor Idol,1x1,Suffix,Harvest,Harvest Crops in your Maps have (10–15)% reduced chance to grow Purple Plants,Harvest Crops in your Maps have #% reduced chance to grow Purple Plants,10–15,,,,,,
Minor Idol,1x1,Suffix,Heist,Smuggler's Caches in your Maps have (35–45)% increased chance to drop Blueprints,Smuggler's Caches in your Maps have #% increased chance to drop Blueprints,35–45,,,,,,
Minor Idol,1x1,Suffix,Heist,"Heist Contracts found in your Maps are (40–60)% more likely to require Lockpicking, Brute Force or Perception","Heist Contracts found in your Maps are #% more likely to require Lockpicking, Brute Force or Perception",40–60,,,,,,
Minor Idol,1x1,Suffix,Heist,"Heist Contracts found in your Maps are (40–60)% more likely to require Demolition, Counter-Thaumaturgy or Trap Disarmament","Heist Contracts found in your Maps are #% more likely to require Demolition, Counter-Thaumaturgy or Trap Disarmament",40–60,,,,,,
Minor Idol,1x1,Suffix,Heist,"Heist Contracts found in your Maps are (40–60)% more likely to require Agility, Deception or Engineering","Heist Contracts found in your Maps are #% more likely to require Agility, Deception or Engineering",40–60,,,,,,
Minor Idol,1x1,Suffix,Betrayal,Immortal Syndicate Members in your Maps are (40–60)% more likely to be accompanied by their Leader,Immortal Syndicate Members in your Maps are #% more likely to be accompanied by their Leader,40–60,,,,,,
Minor Idol,1x1,Suffix,Betrayal,Immortal Syndicate Members Executed in your Maps have (40–60)% chance to gain an additional Rank,Immortal Syndicate Members Executed in your Maps have #% chance to gain an additional Rank,40–60,,,,,,
Minor Idol,1x1,Suffix,Legion,Legion Sergeants in your Maps have (6–10)% additional chance to have Rewards,Legion Sergeants in your Maps have #% additional chance to have Rewards,6–10,,,,,,
Minor Idol,1x1,Suffix,Legion,Legion Encounters in your Maps are (25–35)% more likely to include a General,Legion Encounters in your Maps are #% more likely to include a General,25–35,,,,,,
Minor Idol,1x1,Suffix,Legion,Legion Chests released from Stasis in your Maps release other Monsters and Chests with (35–50)% increased Range,Legion Chests released from Stasis in your Maps release other Monsters and Chests with #% increased Range,35–50,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Encounters in your Maps have (15–20)% increased chance for the final Round to include a Boss,Ultimatum Encounters in your Maps have #% increased chance for the final Round to include a Boss,15–20,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Encounters in your Maps have (40–60)% increased chance to require you to protect the Altar,Ultimatum Encounters in your Maps have #% increased chance to require you to protect the Altar,40–60,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Rewards in your Maps have (20–30)% increased chance to be Unique Items,Ultimatum Rewards in your Maps have #% increased chance to be Unique Items,20–30,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Rewards in your Maps have (20–30)% increased chance to be Jewellery,Ultimatum Rewards in your Maps have #% increased chance to be Jewellery,20–30,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Rewards in your Maps have (20–30)% increased chance to be Currency Items,Ultimatum Rewards in your Maps have #% increased chance to be Currency Items,20–30,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Encounters in your Maps have (40–60)% increased chance to require you to defeat waves of Enemies,Ultimatum Encounters in your Maps have #% increased chance to require you to defeat waves of Enemies,40–60,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Encounters in your Maps have (40–60)% increased chance to require you to Stand in the Stone Circles,Ultimatum Encounters in your Maps have #% increased chance to require you to Stand in the Stone Circles,40–60,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Rewards in your Maps have (20–30)% increased chance to be Divination Cards,Ultimatum Rewards in your Maps have #% increased chance to be Divination Cards,20–30,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Rewards in your Maps have (20–30)% increased chance to be Gems,Ultimatum Rewards in your Maps have #% increased chance to be Gems,20–30,,,,,,
Minor Idol,1x1,Suffix,Ultimatum,Ultimatum Encounters in your Maps have (40–60)% increased chance to only require you to Survive,Ultimatum Encounters in your Maps have #% increased chance to only require you to Survive,40–60,,,,,,
Minor Idol,1x1,Suffix,Ritual,Rerolling Favours at Ritual Altars in your Maps costs (8–12)% reduced Tribute,Rerolling Favours at Ritual Altars in your Maps costs #% reduced Tribute,8–12,,,,,,
Minor Idol,1x1,Suffix,Ritual,Favours Deferred at Ritual Altars in your Maps reappear (20–30)% sooner,Favours Deferred at Ritual Altars in your Maps reappear #% sooner,20–30,,,,,,
Minor Idol,1x1,Suffix,Ritual,Unique Monsters slain at Ritual Altars in your Maps grant (40–60)% more Tribute,Unique Monsters slain at Ritual Altars in your Maps grant #% more Tribute,40–60,,,,,,
Minor Idol,1x1,Suffix,Scarabs,Unique Monsters in your Maps have (75–100)% increased chance to drop Scarabs,Unique Monsters in your Maps have #% increased chance to drop Scarabs,75–100,,,,,,
Minor Idol,1x1,Suffix,Strongboxes,Strongboxes in your Maps have (50–70)% increased chance to be an Arcanist's Strongbox,Strongboxes in your Maps have #% increased chance to be an Arcanist's Strongbox,50–70,,,,,,
Minor Idol,1x1,Suffix,Strongboxes,Strongboxes in your Maps have (50–70)% increased chance to be a Cartographer's Strongbox,Strongboxes in your Maps have #% increased chance to be a Cartographer's Strongbox,50–70,,,,,,
Minor Idol,1x1,Suffix,Strongboxes,Strongboxes in your Maps have (50–70)% increased chance to be a Diviner's Strongbox,Strongboxes in your Maps have #% increased chance to be a Diviner's Strongbox,50–70,,,,,,
Minor Idol,1x1,Suffix,Strongboxes,Strongboxes in your Maps have (40–60)% increased chance to be a Gemcutter's Strongbox,Strongboxes in your Maps have #% increased chance to be a Gemcutter's Strongbox,40–60,,,,,,
Minor Idol,1x1,Suffix,Eater,Your Maps have (4–6)% chance to award double progress towards encountering The Eater of Worlds,Your Maps have #% chance to award double progress towards encountering The Eater of Worlds,4–6,,,,,,
Minor Idol,1x1,Suffix,Eater,Eldritch Ichor found in your Maps influenced by The Eater of Worlds have (4–6)% chance to be Duplicated,Eldritch Ichor found in your Maps influenced by The Eater of Worlds have #% chance to be Duplicated,4–6,,,,,,
Minor Idol,1x1,Suffix,Torment,Tormented Spirits in your Maps have (40–60)% increased Duration,Tormented Spirits in your Maps have #% increased Duration,40–60,,,,,,
Minor Idol,1x1,Suffix,Vaal,Items found in your Corrupted Maps have (1–2)% chance to be Corrupted,Items found in your Corrupted Maps have #% chance to be Corrupted,1–2,,,,,,
Minor Idol,1x1,Suffix,Vaal,Vaal Side Areas in your Maps have (6–10)% chance to be an Alluring Vaal Side Area,Vaal Side Areas in your Maps have #% chance to be an Alluring Vaal Side Area,6–10,,,,,,
Minor Idol,1x1,Suffix,Vaal,Items dropped by Rare Monsters have (3–5)% chance to be Corrupted,Items dropped by Rare Monsters have #% chance to be Corrupted,3–5,,,,,,
Minor Idol,1x1,Suffix,Scouting Reports,(2–4)% chance for Scouting Reports to drop as Otherworldly Scouting Reports instead in your Maps,#% chance for Scouting Reports to drop as Otherworldly Scouting Reports instead in your Maps,2–4,,,,,,
Minor Idol,1x1,Suffix,Scouting Reports,(2–4)% chance for Scouting Reports to drop as Delirious Scouting Reports instead in your Maps,#% chance for Scouting Reports to drop as Delirious Scouting Reports instead in your Maps,2–4,,,,,,
Minor Idol,1x1,Suffix,Scouting Reports,(2–4)% chance for Scouting Reports to drop as Blighted Scouting Reports instead in your Maps,#% chance for Scouting Reports to drop as Blighted Scouting Reports instead in your Maps,2–4,,,,,,
Minor Idol,1x1,Suffix,Scouting Reports,(6–10)% chance for Scouting Reports to drop as Comprehensive Scouting Reports instead in your Maps,#% chance for Scouting Reports to drop as Comprehensive Scouting Reports instead in your Maps,6–10,,,,,,
Minor Idol,1x1,Suffix,Scouting Reports,(4–6)% chance for Scouting Reports to drop as Vaal Scouting Reports instead in your Maps,#% chance for Scouting Reports to drop as Vaal Scouting Reports instead in your Maps,4–6,,,,,,
Minor Idol,1x1,Suffix,Scouting Reports,(3–5)% chance for Scouting Reports to drop as Operative's Scouting Reports instead in your Maps,#% chance for Scouting Reports to drop as Operative's Scouting Reports instead in your Maps,3–5,,,,,,
Minor Idol,1x1,Suffix,Scouting Reports,(4–6)% chance for Scouting Reports to drop as Singular Scouting Reports instead in your Maps,#% chance for Scouting Reports to drop as Singular Scouting Reports instead in your Maps,4–6,,,,,,
Kamasan Idol,1x2,Prefix,Abyss,Your Maps have +(30–45)% chance to contain an Abyss,Your Maps have +#% chance to contain an Abyss,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Abyss,Your Maps have (144–180)% increased chance to contain an Abyss,Your Maps have #% increased chance to contain an Abyss,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Incursion,Your Maps have +(30–45)% chance to contain Alva,Your Maps have +#% chance to contain Alva,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Incursion,Your Maps have (144–180)% increased chance to contain Alva,Your Maps have #% increased chance to contain Alva,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Rogue Exiles,Your Maps have a (30–45)% chance to contain an additional Rogue Exile,Your Maps have a #% chance to contain an additional Rogue Exile,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Rogue Exiles,Your Maps have +(12–18)% chance to contain a Rogue Exile,Your Maps have +#% chance to contain a Rogue Exile,12–18,,,,,,
Kamasan Idol,1x2,Prefix,Bestiary,Your Maps have +(30–45)% chance to contain Einhar,Your Maps have +#% chance to contain Einhar,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Bestiary,Your Maps have (144–180)% increased chance to contain Einhar,Your Maps have #% increased chance to contain Einhar,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Beyond,(30–45)% chance for your Maps to attract Beyond Demons,#% chance for your Maps to attract Beyond Demons,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Blight,Your Maps have +(30–45)% chance to contain a Blight Encounter,Your Maps have +#% chance to contain a Blight Encounter,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Blight,Your Maps have (144–180)% increased chance to contain a Blight Encounter,Your Maps have #% increased chance to contain a Blight Encounter,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Breach,Your Maps have +(30–45)% chance to contain Breaches,Your Maps have +#% chance to contain Breaches,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Breach,Your Maps have (144–180)% increased chance to contain a Breach,Your Maps have #% increased chance to contain a Breach,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Breach,Your Maps which contain Breaches have (5–10)% chance to contain two additional Breaches,Your Maps which contain Breaches have #% chance to contain two additional Breaches,5–10,,,,,,
Kamasan Idol,1x2,Prefix,Delirium,Your Maps have +(30–45)% chance to contain a Mirror of Delirium,Your Maps have +#% chance to contain a Mirror of Delirium,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Delirium,Your Maps have (144–180)% increased chance to contain a Mirror of Delirium,Your Maps have #% increased chance to contain a Mirror of Delirium,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Delve,Your Maps have +(30–45)% chance to contain Niko,Your Maps have +#% chance to contain Niko,30–45,,,,,,
Kamasan Idol,1x2,Prefix,Delve,Your Maps have (144–180)% increased chance to contain Niko,Your Maps have #% increased chance to contain Niko,144–180,,,,,,
Kamasan Idol,1x2,Prefix,Shrine,Your Maps have +(12–18)% chance to contain a Shrine,Your Maps have +#% chance to contain a Shrine,12–18,,,,,,
Kamasan Idol,1x2,Prefix,Shrine,Your Maps have a (60–80)% chance to contain an additional Shrine,Your Maps have a #% chance to contain an additional Shrine,60–80,,,,,,
Kamasan Idol,1x2,Prefix,Maps,Final Map Boss in each Map has +(1.8–2.4)% chance to drop a Shaper Guardian Map (Tier 14+),Final Map Boss in each Map has +#% chance to drop a Shaper Guardian Map (Tier 14+),1.8-2.4,,,,,,
Kamasan Idol,1x2,Prefix,Maps,Final Map Boss in each Map has +(1.8–2.4)% chance to drop an Elder Guardian Map (Tier 14+),Final Map Boss in each Map has +#% chance to drop an Elder Guardian Map (Tier 14+),1.8-2.4,,,,,,
Kamasan Idol,1x2,Prefix,Essence,Your Maps have +(12–18)% chance to contain an Imprisoned Monster,Your Maps have +#% chance to contain an Imprisoned Monster,12–18,,,,,,
